Months,maximum,mean,minimum,pixelcount,stddev
CO2_2019_3,415.44476,411.1319175,406.1054,793,1.171306072
CO2_2019_4,419.0727,413.1797082,401.25058,1069,1.333935903
CO2_2019_5,418.78534,413.8932909,410.73193,595,0.85896354
CO2_2019_6,415.04626,411.6431351,401.36285,239,1.787743078
CO2_2019_8,409.808465,407.3273075,403.25427,14,2.100307496
CO2_2019_9,412.314,407.9348442,398.9861,55,2.890887338
CO2_2019_10,415.92294,404.5102484,384.95633,271,5.311984385
CO2_2019_11,413.3986,408.4965629,398.11234,196,2.6095644
CO2_2019_12,413.19604,408.7841609,392.67975,281,1.975136448
CO2_2020_1,416.23392,410.2803176,391.16312,1701,2.754135251
CO2_2020_2,418.2078,410.949504,394.63474,2856,2.057231655
CO2_2020_3,416.90176,413.0011082,409.373245,771,0.808432004
CO2_2020_4,427.84705,413.8301955,399.28702,3895,2.090571651
CO2_2020_5,422.63812,417.1956764,409.05862,125,2.287807965
CO2_2020_6,415.70422,408.6812472,400.76187,47,3.476378139
CO2_2020_7,411.81995,405.5016117,395.62106,6,5.498575
CO2_2020_9,418.23657,407.7622287,393.92236,100,4.006901508
CO2_2020_10,415.88226,407.3810096,390.6334,231,4.673629759
CO2_2020_11,415.0619822,405.4072226,387.6327,1761,5.696757669
CO2_2020_12,426.96217,412.7112191,394.43134,1196,3.528436038
CO2_2021_1,416.642075,412.3220766,392.32687,971,2.631165798
CO2_2021_2,422.02585,414.2432472,410.20282,1047,1.27437034
CO2_2021_3,421.71246,415.2146222,402.35507,3814,0.982963912
CO2_2021_4,426.03952,417.3456709,403.0341,4416,1.694498549
CO2_2021_5,420.0373,413.3680194,396.5269,1170,3.960439594
CO2_2021_6,422.145,413.0883626,394.42017,947,3.719636653
CO2_2021_7,417.42728,413.5896282,403.24738,146,2.404980812
CO2_2021_8,418.4461,411.5357672,394.29065,84,4.372900624
CO2_2021_9,415.05594,411.3448394,402.60413,63,2.944259981
CO2_2021_10,427.15073,411.6307959,384.7353,530,5.912710794
CO2_2021_12,420.51923,413.7388029,380.12878,3074,3.55327985
CO2_2022_1,423.5906,414.574579,402.64764,1759,2.727180152
CO2_2022_2,425.8781,416.715705,399.11072,4951,1.452900563
CO2_2022_3,426.26962,418.2327527,407.44846,2559,1.877656516
CO2_2022_4,430.05078,419.2740347,408.10623,3357,1.743220872
CO2_2022_5,423.06732,417.3080833,404.98032,147,3.401382977
CO2_2022_6,424.36142,418.4778505,410.646955,1202,1.606975424
CO2_2022_7,419.70074,413.9782056,398.82068,134,4.030688022
CO2_2022_8,418.39334,410.8370892,394.6423,441,4.002405414
CO2_2022_9,419.94785,414.051096,402.616245,237,2.494502946
CO2_2022_10,422.62848,413.9957087,393.18628,2449,2.010138827
CO2_2022_11,424.23532,416.9440424,399.066735,2012,3.46883079
CO2_2022_12,424.211195,417.9705091,408.61191,2749,1.059770223
CO2_2023_1,425.9041,418.3752882,406.0035,4879,1.740759486
CO2_2023_2,420.877004,418.2698167,410.5118,681,0.946473513
