system:index,maximum,mean,minimum,pixelcount,stddev
SIF_2017_6,0.80218315,0.264058052,-0.62005615,763,0.197557097
SIF_2017_7,1.1217728,0.250552207,-0.35720634,526,0.207650295
SIF_2017_9,0.8217478,0.338468784,-0.20508003,279,0.170054204
SIF_2017_10,0.6725836,0.233321517,-0.105843544,93,0.142875733
SIF_2017_11,0.78152657,0.181479169,-0.28216648,548,0.115725694
SIF_2017_12,0.5431833,0.134138857,-0.16435719,582,0.088942851
SIF_2018_1,0.5608797,0.122678853,-0.20658445,1241,0.096008491
SIF_2018_2,0.39042282,0.091940083,-0.2046833,225,0.091907602
SIF_2018_3,0.7062988,0.12673932,-0.298731488,859,0.101899347
SIF_2018_4,0.7334528,0.169089592,-0.4261217,1613,0.158618779
SIF_2018_5,0.77864647,0.247877184,-0.4065857,1231,0.17046815
SIF_2018_6,0.9988642,0.33945062,-0.5067806,1093,0.20390198
SIF_2018_7,0.9471264,0.293767871,-0.2929001,493,0.197367516
SIF_2018_8,0.82679844,0.254676215,-0.52002525,633,0.196994208
SIF_2018_9,0.8596287,0.260211591,-0.33550787,1293,0.16386255
SIF_2018_10,0.8116379,0.275168442,-0.26931572,582,0.133059065
SIF_2018_11,0.4645357,0.165693634,-0.14241982,185,0.112753673
SIF_2018_12,0.46131325,0.156377847,-0.45623493,655,0.102506639
SIF_2019_1,0.603776,0.116787794,-0.26112652,1348,0.114195611
SIF_2019_2,0.52133465,0.147563923,-0.38719368,993,0.119138425
SIF_2019_3,0.60799026,0.140553979,-0.42504406,1058,0.140388101
SIF_2019_4,0.8193989,0.10593367,-0.56675434,1319,0.151231227
SIF_2019_5,0.71380043,0.197152809,-0.3808794,1469,0.164430425
SIF_2019_6,0.78654766,0.225644243,-0.4468012,1115,0.182092514
SIF_2019_7,0.85834503,0.26391726,-0.37310028,443,0.210014873
SIF_2019_8,1.4974499,0.241002703,-0.5519848,1506,0.200632333
SIF_2019_9,1.0894489,0.323389098,-0.51945685,591,0.179721673
SIF_2019_10,0.8780327,0.30084439,-0.31786156,946,0.146895834
SIF_2019_11,0.9028883,0.21708383,-0.19830004,698,0.126973888
SIF_2019_12,0.6585674,0.167020885,-0.343090054,769,0.129441563
SIF_2020_1,0.5979061,0.123549589,-2.1589565,1982,0.12593726
SIF_2020_2,0.56475925,0.126810139,-1.5556898,3726,0.118937342
SIF_2020_3,0.60139656,0.136934467,-0.22949219,1044,0.137885372
SIF_2020_4,0.74176407,0.124168058,-3.081111,5313,0.154307744
SIF_2020_5,0.69449806,0.195261585,-0.31686115,2919,0.135691405
SIF_2020_6,1.0250244,0.280495264,-0.4855528,2115,0.175244742
SIF_2020_7,1.0772419,0.32586691,-0.42010975,1610,0.197672068
SIF_2020_8,0.9564886,0.32398674,-0.35206413,2591,0.148781788
SIF_2020_9,1.7670708,0.304505369,-0.43415737,2273,0.187973889
SIF_2020_10,1.0475388,0.296124528,-0.20269012,2203,0.13511534
SIF_2020_11,0.8936348,0.262156233,-0.80341434,2745,0.176883466
SIF_2020_12,1.7974358,0.193188566,-1.4408884,2574,0.185587783
SIF_2021_1,0.66621685,0.161960102,-0.47928047,1581,0.127142214
SIF_2021_2,0.544158,0.140753656,-0.3292389,1401,0.124219166
SIF_2021_3,0.6486988,0.134324045,-0.41191292,4418,0.133277613
SIF_2021_4,0.8193474,0.14338349,-1.7484903,5891,0.134212158
SIF_2021_5,1.0016031,0.219936745,-0.44172668,3803,0.17690216
SIF_2021_6,1.1929245,0.29819155,-0.6876497,3582,0.184979298
SIF_2021_7,0.88437845,0.311130559,-0.3153,983,0.18333863
SIF_2021_8,1.8450346,0.291439149,-0.51011086,2186,0.196037807
SIF_2021_9,1.1699276,0.295911615,-0.3891592,1210,0.178233706
SIF_2021_10,0.99683666,0.280059182,-0.77427576,2721,0.158609312
SIF_2021_11,0.79065704,0.250004875,-1.772932,1363,0.182266791
SIF_2021_12,0.9341583,0.181821397,-0.7935977,4237,0.10922094
SIF_2022_1,0.6459551,0.163937754,-0.87567997,3153,0.124396487
SIF_2022_2,0.6446066,0.136273251,-0.99910211,5834,0.108487973
SIF_2022_3,0.63196087,0.125546617,-0.31952858,3333,0.125903175
SIF_2022_4,0.6149292,0.188035921,-1.05287598,4003,0.113399741
SIF_2022_5,0.87592983,0.301204375,-0.3987131,2233,0.155346766
SIF_2022_6,2.6604195,0.31532746,-0.5161543,3102,0.152035452
SIF_2022_7,1.3429718,0.293017732,-0.2910242,1923,0.154234061
SIF_2022_8,0.8237114,0.304572758,-0.35468483,1963,0.168142393
SIF_2022_9,1.1377134,0.291573629,-0.86913204,1882,0.172337962
SIF_2022_10,0.810936,0.236563199,-0.27692127,3333,0.121174761
SIF_2022_11,0.93685055,0.206334109,-0.35108852,3852,0.134163483
SIF_2022_12,0.5210819,0.14381904,-0.37959003,2345,0.096504023
SIF_2023_1,0.9433136,0.14297738,-0.8394718,4593,0.115534736
